hi|interj|ရင္းရင္းႏွီးႏွီးႏႈတ္ဆက္ရာတြင္သံုးသည့္စကား။||
hiatus|n|ၾကားျပတ္ျခင္း။ကြက္လပ္။ ကြက္လပ္။||
hibernate|v|သားငွက္တိရစၦာန္မ်ားေဆာင္းခိုသည္။||
hibiscus|n|ေခါင္ရန္း။||
hiccup|n|ႀကိဳ႔ထိုးသံ။ႀကိဳ႔ထိုးျခင္း။ ယာယီျပႆနာ။ၾကန္႔ၾကာျခင္း။||
hiccup|v|ႀကဳိ႔ထိုးသည္။||
hick|n|ေတာသားငတံုး။||
hick|adj|ေတာက်ေသာ။အျမင္က်ဥ္းေသာ။||
hickory|n|အေစ့အဆန္ကိုစားရသည့္ေျမာက္အေမရိကသစ္မာပင္တစ္မ်ဳိး။ ယင္းအပင္၏အသား။ ပုန္းသည္။ပုန္းကြယ္သည္။ဖံုးကြယ္သည္။ဝွက္သည္။ပုန္းသည္။ပုန္းေရွာင္သည္။သူသည္နာမည္တုျဖင့္ဇာတ္ျမႇဳပ္ေနလုိက္သည္။ ဖံုးသည္။ဖံုးဝွက္သည္။ထိမ္ခ်န္သည္။ကြၽႏု္ပ္တို႔သည္အနာဂတ္ကိုမသိႏိုင္ပါ။||
hickory|n|သားငွက္မ်ားကိုေခ်ာင္းေျမာင္းပစ္ခတ္၊ဓာတ္ပံု႐ိုက္ရန္လွ်ဳိ႔ဝွက္ေနရာ။||
hidden agenda|n|လွ်ဳိ႔ဝွက္ရည္မွန္းခ်က္။ဥ ဝွက္ဖဲ။||
hide-and-seek|n|တူတူပုန္းျခင္း။တူတူပုန္းတမ္းကစားျခင္း။||
hide one's light under a bushel|idm|ကိုယ့္အရည္အခ်င္းကိုလွ်ဳိ႔ဝွက္ထားသည္။ေၾကာင္လက္သည္းဝွက္ေနသည္။||
hide|n|သားေရ။ လူ႔အေရခြံ။||
hideaway|n|ပုန္းေအာင္းရန္သို႔အထီးတည္းေနရန္ေနရာ။||
hidebound|adj|သမား႐ိုးက်နည္းျဖင့္သာေတြးေခၚတတ္ေသာ။အျမင္က်ဥ္းေျမာင္းေသာ။||
hideous|adj|ေၾကာက္မက္ဖြယ္ေကာင္းေသာ။အ႐ုပ္ဆိုးေသာ။အက်ည္းတန္ေသာ။||
hideously|adv|ဆိုးဆိုးရြားရြား။||
hiding|n|ပုန္းလွ်ဳိးေနျခင္း။||
hiding-place|n|ပုန္းေအာင္း၊ပုန္းလွ်ဳိးရာေနရာ။ဝွက္ထားရာေနရာ။||
hiding|n|႐ိုက္ႏွက္ျခင္း။||
hierarchy|n|ရာထူးဂုဏ္သိမ္အဆင့္ဆင့္။||
hierarchical|adj|ႀကီးစဥ္ငယ္လိုက္။ဝါစဥ္။||
hieroglyph|n|အ႐ုပ္စာ။||
hieroglyphics|n|အ႐ုပ္စာ။||
hi-fi|adj|ၾကည္လင္ပီသေသာေရဒီယို၊ဓာတ္စက္စသည္။||
hi-fi|n|ၾကည္လင္ပီသေသာအသံဖမ္းစက္စသည္။||
higgledy-piggledy|adv|ကစဥ့္ကလ်ား။ဖ႐ိုဖရဲ။႐ႈပ္ယွက္ခတ္လ်က္။||
